50	5.57	154	67
100	5.95	116	66
150	4.67	160	83
200	3.83	106	63
250	5.01	99	61
300	5.16	100	63
350	6.16	141	55
400	5.32	143	78
450	4.9	57	54
500	5.05	103	56
550	5.98	50	48
600	5.82	78	62
650	4.54	133	70
700	5.12	139	67
750	6.09	88	57
800	5.81	136	64
850	5.23	126	74
900	4.8	85	51
950	6.33	37	34
1000	5.4	129	62
1050	4.28	38	48
1100	5.08	71	53
1150	5.33	142	71
1200	5.54	87	66
1250	4.85	121	59
1300	5.17	100	62
1350	5.92	148	71
1400	5.97	77	50
1450	5.06	56	43
1500	6.26	77	54
1550	5.98	81	56
1600	5.69	85	56
1650	5.03	83	55
1700	5.97	89	60
1750	6.39	55	47
1800	5.92	91	50
1850	6.39	43	42
1900	6.29	74	51
1950	5.93	47	45
2000	5.77	37	36
2050	6.13	77	54
2100	6.04	127	63
2150	6.23	126	57
2200	5.57	87	67
2250	6.51	73	52
2300	6.08	73	53
2350	6.26	74	64
2400	6.01	39	40
2450	6.74	90	56
2500	6.11	108	64
2550	6.33	18	20
2600	5.9	81	54
2650	4.92	85	70
2700	6.73	55	30
2750	6.7	45	44
2800	7.07	30	35
2850	6.87	21	24
2900	6.73	37	44
2950	6.5	38	39
3000	6.15	51	47
3050	6.65	60	47
3100	6.79	37	39
3150	6.91	30	35
3200	6.95	22	25
3250	6.81	46	41
3300	6.65	25	32
3350	6.77	56	35
3400	6.62	33	29
3450	6.44	45	36
3500	6.62	36	37
3550	6.12	19	26
3600	7.04	31	37
3650	6.56	32	34
3700	6.96	50	44
3750	6.5	49	38
3800	6.87	45	46
3850	7.03	29	36
3900	6.67	30	38
3950	7.12	19	22
4000	5.89	83	57
4050	6.55	38	32
4100	7.03	38	43
4150	7.18	31	34
4200	7.37	82	46
4250	6.58	51	41
4300	6.87	24	31
4350	7.04	28	38
4400	5.72	36	37
4450	6.22	33	33
4500	6.99	69	47
4550	5.29	42	35
4600	7.12	59	44
4650	6.37	45	39
4700	6.95	30	39
4750	6.97	41	44
4800	6.82	36	41
4850	7.06	14	18
4900	6.36	29	47
4950	7.1	56	43
5000	7.11	27	29
5050	6.81	20	31
5100	6.83	32	24
5150	7.08	26	29
5200	7.0	62	48
5250	6.69	42	41
5300	6.97	21	22
5350	7.12	13	22
5400	7.16	26	29
5450	6.98	37	35
5500	7.08	29	35
5550	7.02	39	29
5600	6.67	29	39
5650	6.71	49	35
5700	6.37	85	52
5750	5.44	87	59
5800	6.79	61	47
5850	6.36	70	49
5900	6.16	70	47
5950	6.15	56	38
6000	5.93	87	51
6050	6.15	126	62
6100	7.08	83	47
6150	5.57	90	54
6200	6.95	68	44
6250	6.87	34	37
6300	6.8	35	31
6350	7.59	32	31
6400	7.34	70	44
6450	7.1	71	50
6500	7.28	76	35
6550	6.81	96	60
6600	7.26	67	45
6650	7.07	82	43
6700	7.02	74	33
6750	6.93	70	34
6800	7.14	61	39
6850	6.71	36	29
6900	6.92	74	43
6950	6.55	88	43
7000	6.64	73	53
7050	5.81	53	47
7100	6.35	52	42
7150	8.01	36	27
7200	7.33	35	30
7250	6.87	50	47
7300	5.59	58	56
7350	6.82	21	21
7400	7.66	81	49
7450	7.4	75	45
7500	7.13	66	36
7550	6.35	57	42
7600	7.73	58	33
7650	7.55	116	59
7700	6.7	120	53
7750	6.64	108	50
7800	6.67	76	54
7850	6.46	70	45
7900	7.16	61	41
7950	7.98	71	45
8000	7.51	87	49
8050	7.43	79	43
8100	7.2	70	44
8150	7.33	58	28
8200	7.58	80	52
8250	7.24	58	34
8300	6.82	45	35
8350	7.77	35	29
